author_id,author,num_lines,char_count,source_path
307,Kaczmi,15,587,data/raw/Kaczmi.txt
308,Kaczy Proceder,21,914,data/raw/Kaczy Proceder.txt
309,KaeN,21,962,data/raw/KaeN.txt
310,Kafar Dix37,27,1048,data/raw/Kafar Dix37.txt
311,Kafel,32,785,data/raw/Kafel.txt
312,Kajszan,31,1371,data/raw/Kajszan.txt
313,Kala,38,1464,data/raw/Kala.txt
314,Kali,25,1054,data/raw/Kali.txt
315,Kamerzysta,15,741,data/raw/Kamerzysta.txt
316,Kamil Bednarek,26,1091,data/raw/Kamil Bednarek.txt
317,Kamil Pivot,17,663,data/raw/Kamil Pivot.txt
318,Kanda,69,2286,data/raw/Kanda.txt
319,Karian,16,740,data/raw/Karian.txt
320,Karol'ek,27,1245,data/raw/Karol'ek.txt
321,Karolina Czarnecka,17,1030,data/raw/Karolina Czarnecka.txt
322,Kartky,35,1414,data/raw/Kartky.txt
323,Karwan,14,721,data/raw/Karwan.txt
324,Karwel,32,785,data/raw/Karwel.txt
325,Karzeł,32,785,data/raw/Karzeł.txt
326,Kas,32,1148,data/raw/Kas.txt
327,Kastet THC,32,1148,data/raw/Kastet THC.txt
328,Katy m,21,951,data/raw/Katy m.txt
329,Kayah,27,1140,data/raw/Kayah.txt
330,Kaz,17,774,data/raw/Kaz.txt
331,Kazet,17,801,data/raw/Kazet.txt
332,Kazior,17,774,data/raw/Kazior.txt
333,Kałach,38,1464,data/raw/Kałach.txt
334,Kecaj,21,892,data/raw/Kecaj.txt
335,Kedyf,22,842,data/raw/Kedyf.txt
336,Kevlar,43,2423,data/raw/Kevlar.txt
337,Kidd,20,961,data/raw/Kidd.txt
338,KiddBe,30,1318,data/raw/KiddBe.txt
339,Kiełas,27,1066,data/raw/Kiełas.txt
340,King Of The Diamond,17,653,data/raw/King Of The Diamond.txt
341,Kizo,43,1909,data/raw/Kizo.txt
342,Klarenz,43,2423,data/raw/Klarenz.txt
343,Kleszcz,18,668,data/raw/Kleszcz.txt
344,Kobik,17,744,data/raw/Kobik.txt
345,Kobyła,17,637,data/raw/Kobyła.txt
346,Kodein,20,799,data/raw/Kodein.txt
347,Koder,20,799,data/raw/Koder.txt
348,Kojot,22,868,data/raw/Kojot.txt
349,Kombii,17,744,data/raw/Kombii.txt
350,Komil,15,587,data/raw/Komil.txt
351,Koneser,16,705,data/raw/Koneser.txt
352,Konrad Berkowicz,34,1300,data/raw/Konrad Berkowicz.txt
353,Kopruch,31,1673,data/raw/Kopruch.txt
354,KoreK,33,1167,data/raw/KoreK.txt
355,Koro,22,1719,data/raw/Koro.txt
356,Korosh,22,1719,data/raw/Korosh.txt
357,Kosa,33,1087,data/raw/Kosa.txt
358,Koza,33,1087,data/raw/Koza.txt
359,Kozersky,25,1108,data/raw/Kozersky.txt
360,Kościey,17,929,data/raw/Kościey.txt
361,Kriz,17,1032,data/raw/Kriz.txt
362,Kronkel Dom,17,554,data/raw/Kronkel Dom.txt
363,Krulig,17,719,data/raw/Krulig.txt
364,Krys,18,1109,data/raw/Krys.txt
365,Krystyna Czubówna,18,679,data/raw/Krystyna Czubówna.txt
366,Krzy Krzysztof,31,1158,data/raw/Krzy Krzysztof.txt
367,Krzysztof Gonciarz,24,885,data/raw/Krzysztof Gonciarz.txt
368,Krzysztof Kononowicz,22,904,data/raw/Krzysztof Kononowicz.txt
369,Krzysztof Kosiński,35,1283,data/raw/Krzysztof Kosiński.txt
370,Krzysztof Kozak,21,599,data/raw/Krzysztof Kozak.txt
371,Krzysztof Kozik,21,599,data/raw/Krzysztof Kozik.txt
372,Krzysztof Krawczyk,42,1777,data/raw/Krzysztof Krawczyk.txt
373,Krzysztof Zalewski,33,1597,data/raw/Krzysztof Zalewski.txt
374,Królik Karlos,27,1245,data/raw/Królik Karlos.txt
375,Ksentaks,17,582,data/raw/Ksentaks.txt
376,Kstyk,30,1084,data/raw/Kstyk.txt
377,Kuba Knap,42,1777,data/raw/Kuba Knap.txt
378,Kuba Wojewódzki,7,213,data/raw/Kuba Wojewódzki.txt
379,Kuban,34,1409,data/raw/Kuban.txt
380,Kubańczyk,13,1110,data/raw/Kubańczyk.txt
381,Kubi Producent,21,786,data/raw/Kubi Producent.txt
382,Kucior,33,1388,data/raw/Kucior.txt
383,Kufi,21,786,data/raw/Kufi.txt
384,Kuki,25,1128,data/raw/Kuki.txt
385,Kukon,25,1128,data/raw/Kukon.txt
386,Kuqe 2115,25,1059,data/raw/Kuqe 2115.txt
387,Kurian,34,1409,data/raw/Kurian.txt
388,Kurzaw,21,743,data/raw/Kurzaw.txt
389,Kuszcz,18,668,data/raw/Kuszcz.txt
390,Kuszi,39,1210,data/raw/Kuszi.txt
391,Kvbis,16,825,data/raw/Kvbis.txt
392,Kwiat Jabłoni,27,699,data/raw/Kwiat Jabłoni.txt
393,KęKę,24,936,data/raw/KęKę.txt
394,KŁODZIAN,12,798,data/raw/KŁODZIAN.txt
395,L PRO,41,701,data/raw/L PRO.txt
396,L.U.C.,17,761,data/raw/L.U.C..txt
397,LEMI,2,24,data/raw/LEMI.txt
398,LETNI,15,336,data/raw/LETNI.txt
399,Laikike1,20,1480,data/raw/Laikike1.txt
400,Lanek,15,587,data/raw/Lanek.txt
401,Lazy the Loser,24,1091,data/raw/Lazy the Loser.txt
402,Legendarny Afrojax,20,904,data/raw/Legendarny Afrojax.txt
403,Leny da fam,25,1501,data/raw/Leny da fam.txt
404,Liber,22,930,data/raw/Liber.txt
405,Lil Masti,43,1303,data/raw/Lil Masti.txt
406,Lil PaY,17,734,data/raw/Lil PaY.txt
407,Lilow,17,746,data/raw/Lilow.txt
408,Lilu,40,1146,data/raw/Lilu.txt
409,Lipa,47,1681,data/raw/Lipa.txt
410,Liroy,22,722,data/raw/Liroy.txt
411,Lis Kula,24,1125,data/raw/Lis Kula.txt
412,Locomode,17,682,data/raw/Locomode.txt
413,Loko,17,682,data/raw/Loko.txt
414,Lordofon,25,1169,data/raw/Lordofon.txt
415,Louis Villain,18,743,data/raw/Louis Villain.txt
416,Lubin,17,694,data/raw/Lubin.txt
417,Lucek,17,774,data/raw/Lucek.txt
418,Lukasyno,18,1099,data/raw/Lukasyno.txt
419,Lukier,17,591,data/raw/Lukier.txt
420,Luxus,26,1415,data/raw/Luxus.txt
421,MAGDI,34,1122,data/raw/MAGDI.txt
422,MAT,35,1224,data/raw/MAT.txt
423,MC Gey,74,2010,data/raw/MC Gey.txt
424,MC Silk,74,2010,data/raw/MC Silk.txt
425,MC Sobieski,25,948,data/raw/MC Sobieski.txt
426,MVRTWY †,26,1036,data/raw/MVRTWY †.txt
427,MXN,18,853,data/raw/MXN.txt
428,Mada,25,978,data/raw/Mada.txt
429,Majkel Buszu,29,1314,data/raw/Majkel Buszu.txt
430,Majki,29,1314,data/raw/Majki.txt
431,Major SPZ,49,2239,data/raw/Major SPZ.txt
432,Major Suchodolski,41,701,data/raw/Major Suchodolski.txt
433,Maka,18,671,data/raw/Maka.txt
434,Mamiko,17,967,data/raw/Mamiko.txt
435,Marceli Bober,20,752,data/raw/Marceli Bober.txt
436,Marcin Flint,42,2543,data/raw/Marcin Flint.txt
437,Marcysia,32,794,data/raw/Marcysia.txt
438,Margaret,34,1122,data/raw/Margaret.txt
